계산방식,전략id,신호종목,실행상품코드,방향,진입ma,청산ma,추세ma,거래수,정상청산수,마감1519청산수,최대동시open,승률_pct,평균순수익률_pct,중앙순수익률_pct,평균보유분,최악거래_pct,최고거래_pct,누적복리손익,최종복리자본,누적복리수익률_pct,mdd_pct
KRX_CONTINUOUS_AFTERNOON,DS000573,삼성전자,0193L0,SHORT,3/10,3/10,10,134,122,12,2,32.09,-0.1241,-0.3554,8.99,-2.3180,6.1504,-161083,838917,-16.1083,-16.6038
KRX_CONTINUOUS_AFTERNOON,DS002096,삼성전자,0193W0,LONG,3/20,5/20,5,156,122,34,4,31.41,-0.0992,-0.3710,14.81,-2.5875,6.2870,-161133,838867,-16.1133,-25.5073
KRX_CONTINUOUS_AFTERNOON,DS000252,SK하이닉스,0193T0,LONG,10/20,3/5,50,52,47,5,1,32.69,-0.3349,-0.2359,4.38,-2.1636,1.7419,-161314,838686,-16.1314,-16.6882
KRX_CONTINUOUS_AFTERNOON,DS001846,SK하이닉스,0197X0,SHORT,10/30,3/20,20,68,56,12,1,41.18,-0.2463,-0.5400,14.37,-3.4648,6.1305,-161437,838563,-16.1437,-20.5249
KRX_CONTINUOUS_AFTERNOON,DS000336,삼성전자,0193L0,SHORT,3/30,3/5,50,69,62,7,2,31.88,-0.2513,-0.2534,5.10,-3.4095,2.0894,-161479,838521,-16.1479,-19.7864
KRX_CONTINUOUS_AFTERNOON,DS001654,SK하이닉스,0197X0,SHORT,5/20,3/20,20,83,66,17,2,38.55,-0.1985,-0.4128,12.73,-3.6804,7.8523,-161509,838491,-16.1509,-18.9654
KRX_CONTINUOUS_AFTERNOON,DS001232,삼성전자,0193W0,LONG,10/20,5/10,5,82,71,11,2,28.05,-0.2084,-0.4306,8.51,-2.5954,4.8205,-161524,838476,-16.1524,-16.8470
KRX_CONTINUOUS_AFTERNOON,DS000562,삼성전자,0193W0,LONG,3/10,3/10,20,132,122,10,1,32.58,-0.1281,-0.2711,8.25,-2.4966,2.9584,-161550,838450,-16.1550,-22.3259
KRX_CONTINUOUS_AFTERNOON,DS002124,SK하이닉스,0193T0,LONG,5/20,5/20,50,58,45,13,1,34.48,-0.2898,-0.6373,12.72,-5.3180,3.9233,-161719,838281,-16.1719,-22.7254
KRX_CONTINUOUS_AFTERNOON,DS002180,SK하이닉스,0197X0,SHORT,10/20,5/20,5,95,70,25,2,34.74,-0.1702,-0.4569,15.24,-3.0587,9.0178,-161864,838136,-16.1864,-17.3486
KRX_CONTINUOUS_AFTERNOON,DS001844,SK하이닉스,0197X0,SHORT,10/30,3/20,5,68,56,12,1,44.12,-0.2480,-0.4323,14.97,-3.4648,6.1305,-161889,838111,-16.1889,-21.2593
KRX_CONTINUOUS_AFTERNOON,DS003263,삼성전자,0193L0,SHORT,5/30,3/30,30,60,45,15,1,31.67,-0.2867,-0.4061,13.33,-2.5872,4.9865,-161919,838081,-16.1919,-17.6115
KRX_CONTINUOUS_AFTERNOON,DS000946,삼성전자,0193W0,LONG,20/30,3/10,20,79,74,5,2,25.32,-0.2183,-0.3038,8.73,-2.3403,2.8227,-161958,838042,-16.1958,-16.1958
KRX_CONTINUOUS_AFTERNOON,DS004736,삼성전자,0193W0,LONG,10/30,20/30,5,59,38,21,1,28.81,-0.2800,-0.5364,21.76,-5.1069,6.5107,-162013,837987,-16.2013,-22.0470
KRX_CONTINUOUS_AFTERNOON,DS000907,삼성전자,0193L0,SHORT,10/30,3/10,NONE,86,77,9,3,34.88,-0.2022,-0.2144,8.78,-2.3401,1.7757,-162053,837947,-16.2053,-19.0044
KRX_CONTINUOUS_AFTERNOON,DS004715,SK하이닉스,0193T0,LONG,10/30,20/30,30,44,27,17,2,34.09,-0.3740,-0.3602,18.36,-7.0709,5.7420,-162106,837894,-16.2106,-22.7514
KRX_CONTINUOUS_AFTERNOON,DS002193,삼성전자,0193W0,LONG,10/20,5/20,10,119,94,25,2,28.57,-0.1366,-0.4663,13.62,-4.4260,6.8226,-162279,837721,-16.2279,-21.3902
KRX_CONTINUOUS_AFTERNOON,DS002839,SK하이닉스,0193T0,LONG,20/30,10/20,NONE,94,61,33,2,32.98,-0.1617,-0.4254,16.31,-7.9425,7.9681,-162539,837461,-16.2539,-28.5660
KRX_CONTINUOUS_AFTERNOON,DS001078,SK하이닉스,0197X0,SHORT,5/10,5/10,20,134,118,16,2,37.31,-0.1224,-0.2455,9.64,-2.9737,8.2638,-162703,837297,-16.2703,-16.2703
KRX_CONTINUOUS_AFTERNOON,DS000307,SK하이닉스,0197X0,SHORT,3/30,3/5,NONE,145,131,14,2,33.10,-0.1183,-0.2000,5.26,-2.8693,4.2674,-162880,837120,-16.2880,-20.8089
KRX_CONTINUOUS_AFTERNOON,DS001834,SK하이닉스,0193T0,LONG,10/30,3/20,20,71,57,14,2,29.58,-0.2361,-0.4973,12.92,-3.7543,5.8867,-163387,836613,-16.3387,-22.6046
KRX_CONTINUOUS_AFTERNOON,DS002878,삼성전자,0193L0,SHORT,20/30,10/20,20,73,53,20,2,36.99,-0.2276,-0.2458,17.51,-9.6484,6.8327,-163394,836606,-16.3394,-19.7464
KRX_CONTINUOUS_AFTERNOON,DS002904,SK하이닉스,0197X0,SHORT,3/5,3/30,50,246,170,76,10,36.99,-0.0225,-0.4264,17.54,-6.8038,11.5618,-163522,836478,-16.3522,-39.7403
KRX_CONTINUOUS_AFTERNOON,DS003727,삼성전자,0193W0,LONG,5/30,5/30,NONE,114,83,31,2,25.44,-0.1439,-0.5283,14.58,-2.0425,7.3307,-164097,835903,-16.4097,-21.4189
KRX_CONTINUOUS_AFTERNOON,DS004627,SK하이닉스,0197X0,SHORT,3/30,20/30,NONE,145,98,47,4,44.83,-0.0998,-0.1154,19.50,-5.6138,6.4738,-164314,835686,-16.4314,-20.8136
KRX_CONTINUOUS_AFTERNOON,DS001067,SK하이닉스,0193T0,LONG,5/10,5/10,30,103,87,16,1,39.81,-0.1616,-0.3813,9.36,-5.3761,5.4794,-164338,835662,-16.4338,-23.0940
KRX_CONTINUOUS_AFTERNOON,DS002207,삼성전자,0193L0,SHORT,10/20,5/20,30,64,54,10,2,34.38,-0.2672,-0.4269,17.42,-6.0109,8.4022,-164443,835557,-16.4443,-20.8899
KRX_CONTINUOUS_AFTERNOON,DS002348,삼성전자,0193L0,SHORT,10/30,5/20,5,63,49,14,2,41.27,-0.2780,-0.2000,17.97,-6.1537,2.0491,-164631,835369,-16.4631,-20.4748
KRX_CONTINUOUS_AFTERNOON,DS003271,SK하이닉스,0193T0,LONG,10/30,3/30,NONE,93,67,26,2,30.11,-0.1733,-0.6189,14.83,-3.7543,8.4957,-164631,835369,-16.4631,-24.4007
KRX_CONTINUOUS_AFTERNOON,DS000695,SK하이닉스,0197X0,SHORT,5/20,3/10,30,84,70,14,2,32.14,-0.2041,-0.2000,8.70,-3.6804,7.1356,-164655,835345,-16.4655,-19.1133
KRX_CONTINUOUS_AFTERNOON,DS000381,삼성전자,0193L0,SHORT,5/30,3/5,10,88,83,5,1,34.09,-0.1999,-0.2121,5.16,-4.9474,2.4162,-164684,835316,-16.4684,-18.2974
