"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"KRX_CONTINUOUS","DS004064","삼성전자","0193W0","LONG","5/20","10/30","5","198","180","18","4","34.34","-0.2564","-0.4868","27.15","-5.2049","7.6623","-417222","582778","-41.7222"
"KRX_CONTINUOUS","DS000536","SK하이닉스","0193T0","LONG","3/10","3/10","5","263","256","7","1","30.42","-0.1987","-0.3463","8.68","-3.4415","6.1058","-417254","582746","-41.7254"
"KRX_CONTINUOUS","DS000572","삼성전자","0193L0","SHORT","3/10","3/10","5","300","296","4","2","30.67","-0.1734","-0.3161","8.25","-3.0413","14.0707","-417891","582109","-41.7891"
"KRX_CONTINUOUS","DS001939","SK하이닉스","0197X0","SHORT","3/5","5/20","NONE","643","620","23","11","38.41","-0.0429","-0.3790","22.09","-6.4313","17.1694","-418415","581585","-41.8415"
"KRX_CONTINUOUS","DS001015","SK하이닉스","0193T0","LONG","3/10","5/10","NONE","294","285","9","3","34.01","-0.1727","-0.3394","10.47","-3.7368","6.2247","-419170","580830","-41.9170"
"KRX_CONTINUOUS","DS004500","삼성전자","0193W0","LONG","3/20","20/30","50","126","122","4","5","25.40","-0.4151","-0.4727","25.15","-5.0134","5.1715","-419711","580289","-41.9711"
"KRX_CONTINUOUS","DS000104","SK하이닉스","0193T0","LONG","5/10","3/5","5","264","257","7","2","29.17","-0.2000","-0.3516","5.07","-2.4885","6.9257","-420015","579985","-42.0015"
"KRX_CONTINUOUS","DS002107","삼성전자","0193L0","SHORT","3/20","5/20","NONE","249","239","10","4","30.92","-0.2074","-0.3905","16.38","-5.2344","14.4905","-420045","579955","-42.0045"
"KRX_CONTINUOUS","DS003057","삼성전자","0193W0","LONG","3/20","3/30","10","164","155","9","3","28.05","-0.3202","-0.4534","16.57","-4.1784","5.7096","-420063","579937","-42.0063"
"KRX_CONTINUOUS","DS004639","삼성전자","0193W0","LONG","3/30","20/30","NONE","205","190","15","4","30.24","-0.2377","-0.4829","24.01","-4.4553","7.4410","-420139","579861","-42.0139"
"KRX_CONTINUOUS","DS001488","삼성전자","0193L0","SHORT","3/5","3/20","50","355","339","16","10","25.07","-0.1276","-0.3601","15.88","-3.0506","13.8084","-420175","579825","-42.0175"
"KRX_CONTINUOUS","DS000116","SK하이닉스","0197X0","SHORT","5/10","3/5","5","299","293","6","2","31.77","-0.1766","-0.2619","5.13","-4.3451","7.4070","-420324","579676","-42.0324"
"KRX_CONTINUOUS","DS000032","삼성전자","0193W0","LONG","3/5","3/5","5","283","278","5","2","29.33","-0.1890","-0.3023","5.02","-2.4857","3.9131","-420859","579141","-42.0859"
"KRX_CONTINUOUS","DS001099","삼성전자","0193L0","SHORT","5/10","5/10","NONE","355","348","7","3","31.83","-0.1467","-0.2986","9.51","-3.2568","13.6510","-421092","578908","-42.1092"
"KRX_CONTINUOUS","DS002731","삼성전자","0193L0","SHORT","3/30","10/20","NONE","206","193","13","3","33.01","-0.2514","-0.3758","20.65","-5.3934","13.5461","-421851","578149","-42.1851"
"KRX_CONTINUOUS","DS002011","삼성전자","0193L0","SHORT","3/10","5/20","NONE","402","388","14","6","34.83","-0.1196","-0.3159","19.63","-6.2824","14.4905","-423734","576266","-42.3734"
"KRX_CONTINUOUS","DS000055","SK하이닉스","0193T0","LONG","3/10","3/5","NONE","294","288","6","2","28.91","-0.1822","-0.3353","5.08","-2.4885","7.0780","-424848","575152","-42.4848"
"KRX_CONTINUOUS","DS001496","SK하이닉스","0193T0","LONG","3/10","3/20","5","263","253","10","6","31.56","-0.1907","-0.4765","16.07","-9.4028","8.0933","-425026","574974","-42.5026"
"KRX_CONTINUOUS","DS004557","삼성전자","0193L0","SHORT","5/20","20/30","10","162","144","18","4","33.33","-0.3228","-0.3277","31.54","-8.6147","13.4411","-425972","574028","-42.5972"
"KRX_CONTINUOUS","DS001088","삼성전자","0193W0","LONG","5/10","5/10","5","325","316","9","3","30.15","-0.1646","-0.3282","9.10","-2.2352","5.8528","-426036","573964","-42.6036"
