"계산방식","전략id","신호종목","실행상품코드","방향","진입ma","청산ma","추세ma","거래수","정상청산수","마감1519청산수","최대동시open","승률_pct","평균순수익률_pct","중앙순수익률_pct","평균보유분","최악거래_pct","최고거래_pct","누적복리손익","최종복리자본","누적복리수익률_pct"
"INTEGRATED_CONTINUOUS","DS003600","삼성전자","0193L0","SHORT","5/20","5/30","50","90","84","6","3","26.67","-0.1720","-0.4278","19.97","-1.5797","3.2656","-147631","852369","-14.7631"
"INTEGRATED_CONTINUOUS","DS004676","SK하이닉스","0197X0","SHORT","5/30","20/30","5","132","121","11","5","38.64","-0.0962","-0.3430","32.33","-6.9788","10.8390","-147636","852364","-14.7636"
"INTEGRATED_CONTINUOUS","DS003155","삼성전자","0193W0","LONG","10/20","3/30","30","79","76","3","3","29.11","-0.1959","-0.4575","18.71","-2.1779","4.2277","-147756","852244","-14.7756"
"INTEGRATED_CONTINUOUS","DS003815","SK하이닉스","0197X0","SHORT","20/30","5/30","30","63","62","1","2","30.16","-0.2392","-0.6810","23.57","-3.9883","7.7665","-148126","851874","-14.8126"
"INTEGRATED_CONTINUOUS","DS001388","삼성전자","0193L0","SHORT","10/30","5/10","5","92","91","1","2","30.43","-0.1712","-0.2000","10.11","-2.4503","3.1469","-148400","851600","-14.8400"
"INTEGRATED_CONTINUOUS","DS001424","삼성전자","0193W0","LONG","20/30","5/10","5","77","74","3","2","27.27","-0.2050","-0.4020","9.29","-1.5567","3.0746","-148708","851292","-14.8708"
"INTEGRATED_CONTINUOUS","DS002819","삼성전자","0193W0","LONG","10/30","10/20","30","50","49","1","2","28.00","-0.3147","-0.5164","18.00","-2.8219","3.3629","-148712","851288","-14.8712"
"INTEGRATED_CONTINUOUS","DS000934","SK하이닉스","0197X0","SHORT","20/30","3/10","20","107","106","1","2","38.32","-0.1443","-0.3033","10.56","-4.4182","3.2899","-148723","851277","-14.8723"
"INTEGRATED_CONTINUOUS","DS004127","삼성전자","0193L0","SHORT","10/20","10/30","30","79","74","5","2","29.11","-0.1944","-0.4749","28.11","-3.0742","7.8870","-148754","851246","-14.8754"
"INTEGRATED_CONTINUOUS","DS000744","SK하이닉스","0197X0","SHORT","10/20","3/10","50","79","77","2","2","35.44","-0.1935","-0.3826","9.14","-5.4142","5.5386","-148819","851181","-14.8819"
